link,published,title,detailed
https://www.faz.net/aktuell/politik/inland/franz-muentefering-im-gespraech-sich-nur-ueber-schroeder-aufzuregen-ist-heuchlerisch-16120722.html,"Wed, 03 Apr 2019 11:44:12 +0200","Franz Müntefering im Gespräch: „Sich nur über Schröder aufzuregen, ist heuchlerisch“","Franz Müntefering und der damalige Bundeskanzler Gerhard Schröder am 31. August 2005 beim Außerordentlichen Bundesparteitag der SPD in BerlinAuch Altkanzler mit guten Russland-Kontakten dürfen gutes Geld verdienen, findet der frühere SPD-Vorsitzende Franz Müntefering. Ein Gespräch über zu wenig Streit im Bundestag, das stete Bemühen von Andrea Nahles  – und die Absurdität dicker Koalitionsverträge."
https://www.faz.net/aktuell/brexit/brexiteers-wettern-gegen-theresa-mays-neue-strategie-16122147.html,"Wed, 03 Apr 2019 10:22:03 +0200",Brexiteers wettern gegen Mays neue Strategie,"Boris Johnson wirft May vor, „die endgültige Abwicklung des Brexits Labour anvertraut zu haben“Theresa May bindet im Streit um den britischen EU-Austritt erstmals die Opposition ein – und muss sich dafür vorwerfen lassen, mit einem „bekannten Marxisten“ zusammenzuarbeiten."
https://www.faz.net/aktuell/stil/leib-seele/job-und-familie-vereinbaren-wenn-kinder-auf-der-strecke-bleiben-16116310.html,"Wed, 03 Apr 2019 09:49:01 +0200",Debatte um Vereinbarkeit von Familie und Beruf,"Ein Mädchen legt seinen Kopf auf den Tisch.Reden wir über Vereinbarkeit von Familie und Karriere, geht es immer nur um Elternwünsche und den Druck im Job. Was aber brauchen die Kinder? Mehr Zeit mit Mama und Papa vielleicht?"
https://www.faz.net/aktuell/sport/fussball/dfb-pokalduell-stefan-reuter-ist-nach-leipzig-sieg-ausser-sich-16121985.html,"Wed, 03 Apr 2019 08:11:59 +0200",Pokalduell in Augsburg: Reuter ist nach Leipzig-Sieg außer sich,Nicht nur in den Katakomben des Stadions gab es heftige Diskussionen: Auch auf dem Feld hatten sich die Spieler der Teams aus Leipzig (blau-gelb) und Augsburg (weiß) einiges zu sagen.Die Nationalspieler Werner und Halstenberg bescheren RB Leipzig gegen den FC Augsburg eine Premiere. Der Pokalkrimi sorgt beim Heimteam jedoch für reichlich Frust und Ärger. Manager Reuter ist außer sich.
https://www.faz.net/aktuell/rhein-main/studie-zu-krankhafter-aggressivitaet-unter-maedchen-16120029.html,"Wed, 03 Apr 2019 10:01:29 +0200",Studie zu krankhafter Aggressivität unter Mädchen,Letzter Halt: Der Griff zur Flasche kann ein Symptom einer psychischen Störung sein.Manche Mädchen sind krankhaft aggressiv. In einer Studie unter Leitung der Frankfurter Uniklinik für Psychiatrie wurde nach den Ursachen gesucht. Die Ergebnisse sind vielfältig.
https://www.faz.net/aktuell/wirtschaft/737-max-piloten-handelten-angeblich-nach-boeing-handbuch-16122137.html,"Wed, 03 Apr 2019 10:17:48 +0200",Piloten handelten bei 737-Max-Absturz angeblich nach Boeing-Handbuch,"Eine Boeing 737 Max bei einem Testflug in den Vereinigten StaatenDer Untersuchungsbericht zum Absturz einer Boeing 737 Max von Ethiopian Airlines steht kurz bevor. Jetzt sind erste Details bekannt geworden, die kein gutes Licht auf die Sicherheitsvorkehrungen von Boeing werfen."
https://www.faz.net/aktuell/sport/fussball/schuerrles-fc-fulham-steigt-ab-fc-barcelona-spektakulaer-16122202.html,"Wed, 03 Apr 2019 12:39:29 +0200",Internationaler Fußball: FC Fulham steigt ab – Spektakel bei Barcelona,André Schürrle vom FC Fulham während eines Spiels seiner Mannschaft gegen Tottenham Hotspur im Januar 2019 (Archivbild)Nach einer 1:4-Niederlage gegen Watford erlischt für André Schürrles FC Fulham die letzte Hoffnung auf den Klassenverbleib. In Spaniens erster Liga liefern sich Barcelona und Villareal derweil ein packendes Duell.
https://www.faz.net/aktuell/politik/bayerns-volksbegehren-fuer-artenschutz-soll-gesetz-werden-16122238.html,"Wed, 03 Apr 2019 12:19:44 +0200",Bayerns Volksbegehren für Artenschutz soll Gesetz werden,Demo für den Bienenschutz in München im FebruarDer bayerische Landtag will dem Volksentscheid „Rettet die Bienen“ vorgreifen – und das Vorhaben als umfassendes Gesetz beschließen. Von einem „echten neuen Generationenvertrag“ ist die Rede.
https://www.faz.net/aktuell/gesellschaft/kriminalitaet/zeugen-melden-massenschlaegerei-in-berlin-16122240.html,"Wed, 03 Apr 2019 11:07:39 +0200",Zeugen melden Massenschlägerei in Berlin,Die Berliner Polizei ist zu einer Massenschlägerei unter Jugendlichen im Ortsteil Steglitz gerufen worden. Zuletzt war es vor zwei Wochen zu einer Massenschlägerei auf dem Alexanderplatz gekommen. (Archivbild) Im Berliner Ortsteil Steglitz soll eine Massenschlägerei zwischen 50 bis 100 Personen stattgefunden haben. Die Polizei ermittelt wegen des Verdachts auf schweren Landfriedensbruch.
https://www.faz.net/aktuell/rhein-main/helmut-jahn-baut-den-frankfurter-messeturm-um-16121606.html,"Wed, 03 Apr 2019 12:15:46 +0200",Neues Foyer und neuer Sockel: Helmut Jahn baut den Frankfurter Messeturm um,"Unzertrennlich: Der Hammering Man steht seit 1991 vor dem Frankfurter Messeturm.Der Messeturm ist der Klassiker unter den Frankfurter Hochhäusern. Jetzt bekommt er vom Schöpfer selbst ein neues Foyer – mit Café und Wasserfall, aber ohne Granit."
https://www.faz.net/aktuell/wirtschaft/unternehmen/sandberg-produziert-e-baesse-fuer-beruehmte-rockbands-16101478.html,"Wed, 03 Apr 2019 11:41:48 +0200",Sandberg produziert E-Gitarren für Tina Turner und Rammstein,Bei Sandberg stecken Paradiesvögel bis zum Hals in Arbeit.E-Bässe in Form eines Kuhschädels oder aus durchsichtigem Acryl: Sandberg baut auch ungewöhnliche Instrumente. Manche davon werden zerkratzt.
https://www.faz.net/aktuell/politik/trumps-praesidentschaft/donald-trump-verwechselt-seinen-grossvater-mit-seinem-vater-16121925.html,"Wed, 03 Apr 2019 07:31:21 +0200",Amerikanischer Präsident: Trump verwechselt seinen Großvater mit seinem Vater,"Verwechselt: Donald TrumpSein Vater sei Deutscher gewesen, behauptet Donald Trump in einem Interview – und bringt dabei in der Familienhistorie etwas durcheinander. In puncto Nato bleibt Amerikas Präsident mit Blick auf Deutschland hingegen unmissverständlich."
https://www.faz.net/aktuell/wirtschaft/diginomics/wie-sicherheitsexperten-den-autopiloten-von-tesla-manipulierten-16121377.html,"Wed, 03 Apr 2019 08:36:06 +0200",Wie Sicherheitsexperten den Autopiloten von Tesla manipulierten,Stoßzeit in Los Angeles: Der Autopilot steuert den Tesla durch den Berufsverkehr.In einem Test weisen Sicherheitsexperten Fehler des Autopiloten von Tesla nach. Durch Manipulation ließe sich das Auto auf die Gegenfahrbahn lenken. Elon Musk kontert auf Twitter.
