link,published,title,detailed
https://www.faz.net/aktuell/wirtschaft/unternehmen/milliarden-fuer-klimaschutz-wie-oeko-ist-die-bahn-16116685.html,"Wed, 03 Apr 2019 16:02:00 +0200",Milliarden für Klimaschutz: Wie öko ist die Bahn?,"Ein ICE der Deutschen Bahn fährt über eine Bahntrasse bei Immensen in der Region Hannover.Umweltfreundlicher, schneller und leiser: Die Bahn hat sich viel vorgenommen. Mehr Verkehr auf die Schiene, fordern auch Umweltschützer. Doch das könnte richtig teuer werden."
https://www.faz.net/aktuell/brexit/brexit-liveblog-juncker-bei-kompromiss-in-london-fuer-weiteren-aufschub-16110669.html,"Wed, 03 Apr 2019 16:50:52 +0200",Brexit-Liveblog: Juncker bei Kompromiss in London für weiteren Aufschub,EU-Kommissionspräsident Jean-Claude Juncker am Mittwoch in Brüssel++ May und Labour-ChefCorbyn beraten über gemeinsame Lösung ++ Brexit-Hardliner der Konservativen Partei kritisieren Mays Kurswechsel ++ Röttgen dringt auf langfristigen Aufschub des Brexits ++ Die jüngsten Entwicklungen im Liveblog ++
https://www.faz.net/aktuell/wirtschaft/diginomics/videospiele-als-wirtschaftsfaktor-nicht-nur-bei-jungen-beliebt-16121081.html,"Wed, 03 Apr 2019 15:16:06 +0200","Videospiele als Wirtschaftsfaktor: Deutschland, einig Zockerland",Teaserbild GamingVideospiele sind inzwischen ein ernstzunehmender Wirtschaftsfaktor – auch in Deutschland. Denn: Nicht nur die Jungen spielen. Das meistverkaufte Videospiel aller Zeiten ist gerade unter Älteren sehr beliebt.
https://www.faz.net/aktuell/wirtschaft/diginomics/durch-hamburg-fahren-jetzt-autonome-e-vw-golf-16122419.html,"Wed, 03 Apr 2019 15:29:24 +0200",Durch Hamburg fahren jetzt autonome Autos,Zwei autonome VW-Elektro-Golf-Testwagen fahren durch Hamburg.Fünf autonome Elektro-Golf-Testautos fahren seit Mittwoch durch die Innenstadt. Die Teststrecke soll neun Kilometer lang werden. Auch für die Hamburger sind die neuen Autos eine Herausforderung.
https://www.faz.net/aktuell/finanzen/meine-finanzen/vorsorgen-fuer-das-alter/altersvorsorge-auch-der-vermoegensabbau-will-durchdacht-sein-16122552.html,"Wed, 03 Apr 2019 15:10:38 +0200",Altersvorsorge: Auch der Vermögensabbau will durchdacht sein,"Wer aus dem Vollen schöpfen kann, muss sich keine Sorgen machen - stimmt so nicht.Geht es um Altersvorsorge, steht vor allem der Aufbau von Vermögen im Vordergrund. Doch auch wenn es einfach scheint, ein Vermögen auszugeben, im Fall der Altersvorsorge ist es etwas anderes."
https://www.faz.net/aktuell/gesellschaft/kriminalitaet/koelner-findet-zwillingsauto-mit-identischem-kennzeichen-16122366.html,"Wed, 03 Apr 2019 12:49:47 +0200",Kölner findet Zwillingsauto mit identischem Kennzeichen,"Der VW Polo von Taxiunternehmer Adem Altay steht in Köln vor der Kopie seines Autos.Ein Kölner hat eine sonderbare Überraschung erlebt. Er stieß auf eine exakte Kopie seines Wagens: Modell, Farbe und vor allem Kennzeichen – alles identisch."
https://www.faz.net/aktuell/gesellschaft/menschen/donald-trump-schummelt-beim-golf-16122645.html,"Wed, 03 Apr 2019 15:35:13 +0200",Donald Trump schummelt beim Golf,"Trump wird immer wieder vorgeworfen, zu viel Zeit auf dem Grün zu verbringen. „Er mogelt, weil das seine Art ist, Golf zu spielen“, schreibt ein Sportjournalist über Donald Trump. Für sein Buch trug er die Erfahrungen prominenter Mitspieler des Präsidenten zusammen."
https://www.faz.net/aktuell/gesellschaft/kriminalitaet/graeber-ermordeter-polizisten-in-berlin-geschaendet-16122730.html,"Wed, 03 Apr 2019 16:27:30 +0200",Gräber ermordeter Polizisten in Berlin geschändet,"Ein mit Folie abgedeckter Grabstein steht auf dem Parkfriedhof Neukölln.Zwei Grabstätten von im Dienst getöteten Polizisten sind in Berlin mit Hakenkreuzen beschmiert worden. Einer der Polizisten war 2003 erschossen worden, als er einen Verdächtigen aus einer Clan-Familie festnehmen wollte."
https://www.faz.net/aktuell/politik/inland/staatsanwaltschaft-ermittelt-gegen-zentrum-fuer-politische-schoenheit-16122386.html,"Wed, 03 Apr 2019 15:37:31 +0200",Staatsanwaltschaft ermittelt gegen Zentrum für politische Schönheit,Mitglieder des Künstlerkollektivs ZPS stehen im November 2017 in dem Nachbau des Berliner Holocaust-Mahnmals – in Sichtweite des Grundstücks von AfD-Politiker Höcke.Der Vorwurf der Staatsanwaltschaft gegen die Aktionskünstler lautet: „Bildung einer kriminellen Vereinigung“. Das Verfahren wurde eine Woche nach der Mahnmalaktion vor dem Haus des AfD-Politikers Björn Höcke aufgenommen.
https://www.faz.net/aktuell/wirtschaft/malaysia-verkauft-beschlagnahmte-yacht-fuer-126-millionen-dollar-16122676.html,"Wed, 03 Apr 2019 16:28:53 +0200",Malaysia verkauft beschlagnahmte Yacht für 126 Millionen Dollar,Die Jacht von Jho Low wurde für 126 Millionen Dollar verkauft.In Malaysia soll eine Bande um den Investor Jho Low den staatlichen Pensionsfonds geplündert haben. Nun wurde die Luxusyacht des Flüchtigen für 126 Millionen Dollar versteigert. Insgesamt geht es aber um viel mehr Geld.
https://www.faz.net/aktuell/sport/fussball/frank-schmidt-ueber-dfb-pokalspiel-gegen-bayern-muenchen-16121005.html,"Wed, 03 Apr 2019 14:14:39 +0200",Heidenheim-Trainer Schmidt über das DFB-Pokalspiel gegen Bayern München,Ein Mann mit klarer Linie: Heidenheim-Trainer Frank SchmidtFrank Schmidt trainiert den 1. FC Heidenheim seit 2007 und führte seinen Heimatklub von der Oberliga bis in die zweite Bundesliga. Vor dem Auftritt gegen Bayern München im DFB-Pokal gibt er ein bemerkenswertes Interview.
https://www.faz.net/aktuell/feuilleton/brief-aus-istanbul/wieso-erdogan-die-wahl-in-der-tuerkei-verloren-hat-16121074.html,"Wed, 03 Apr 2019 12:05:59 +0200",Brief aus Istanbul: Der Fall des Hochmütigen,Nach einer Ansprache zu den Kommunalwahlen verlässt der türkische Staatspräsident Recep Tayyip Erdogan am Sonntag in Istanbul die Bühne.Notgedrungen hatte sich der Staatspräsident bei der Kommunalwahl auf ein Glücksspiel eingelassen. Schließlich half alles Drohen und Flehen nicht: Wieso Erdogan die Wahl in der Türkei verloren hat.
