link,published,title,detailed
https://www.sueddeutsche.de/digital/russland-internet-zensur-abschottung-telegram-opposition-ueberwachung-1.4404609,"Thu, 11 Apr 2019 10:06:45 GMT",Zensur: Russland will sich vom globalen Internet abkoppeln,"Moskau will sein eigenes Netz schaffen - angeblich, um das Land gegen schädliche Einflüsse zu schützen. Kritiker halten es für den Versuch, die Gesellschaft zu kontrollieren und Proteste zu ersticken."
https://www.sueddeutsche.de/muenchen/landkreismuenchen/pullach-csu-und-wip-kippenschwimmbad-plaene-1.4405074,"Thu, 11 Apr 2019 10:04:43 GMT",Pullach: CSU und WIP kippen Schwimmbad-Pläne,"Obwohl das Konzept für die Kuhwiese bereits weit gediehen ist, soll der Neubau jetzt am alten Standort errichtet werden."
https://www.sueddeutsche.de/auto/fuehrerschein-cannabis-mpu-1.4405850,"Thu, 11 Apr 2019 09:53:17 GMT",Straßenverkehr: Cannabis-Konsumenten darf Führerschein nicht sofort entzogen werden,"Zuerst müssen die Behörden ein medizinisch-psychologisches Gutachten einholen, urteilt das Bundesverwaltungsgericht."
https://www.sueddeutsche.de/politik/assange-london-wikileaks-festnahme-1.4406044,"Thu, 11 Apr 2019 09:43:10 GMT",EIL: Wikileaks-Gründer Assange in London festgenommen,"Nach sieben Jahren in der ecuadorianischen Botschaft in London ist Assange in Polizeigewahrsam. Die Metropolitan Police teilt mit, der Botschafter selbst habe sie in das Gebäude eingeladen. "
https://www.sueddeutsche.de/politik/eu-brexit-grossbritannien-macron-1.4405790,"Thu, 11 Apr 2019 09:25:33 GMT",Nach dem EU-Gipfel: Wie es bis zum neuen Brexit-Stichtag weitergeht,Was bedeutet das für die Europawahl? Und wie kommt der Kompromiss vom EU-Gipfel bei Briten und Europäern an? Antworten auf die wichtigsten Fragen zum Brexit-Aufschub.
https://www.sueddeutsche.de/sport/barca-manchester-united-solskjaer-champions-league-1.4405755,"Thu, 11 Apr 2019 09:23:18 GMT","Champions-League-Viertelfinale: ""Schreibt uns nicht ab!""",Beim 0:1 gegen Barcelona schießt Manchester United nicht einmal aufs Tor - trotzdem geben sich die Spieler selbstbewusst. Als Außenseiter hat das Team im Rückspiel schon einmal alle überrascht.
https://www.sueddeutsche.de/muenchen/starnberg/starnberg-voegel-ornithologen-artenschutz-1.4405474,"Thu, 11 Apr 2019 09:17:51 GMT",Eisvogel bis Pelikan: Wie Starnberger Ornithologen 30.000 Beobachtungen zusammentragen,Die Zoologen und Laien ärgern sich über Stand-Up-Paddler und sorgen sich um bedrohte Arten. Die Arbeitsgemeinschaft gilt als einzigartig in Bayern. 
https://www.sueddeutsche.de/wirtschaft/cum-ex-prozess-mueller-schweiz-1.4405668,"Thu, 11 Apr 2019 08:42:32 GMT",Steuerskandal: Cum-Ex-Aufklärer in der Schweiz zu Geldstrafe verurteilt,Der deutsche Anwalt war durch einen der ersten Prozesse zu dubiosen Steuerdeals bekannt geworden. Dann wollte ihn die Züricher Staatsanwaltschaft wegen Wirtschaftsspionage ins Gefängnis bringen.
https://www.sueddeutsche.de/medien/netflix-preise-streamingdienst-1.4405735,"Thu, 11 Apr 2019 08:38:43 GMT",Streaming-Dienst: Netflix erhöht die Preise auch in Deutschland,Nach den USA müssen nun auch europäische Kunden mehr zahlen als bisher. Begründet werden die neuen Preise mit den Kosten für Eigenproduktionen.
https://www.sueddeutsche.de/politik/sudan-al-baschir-ruecktritt-1.4405658,"Thu, 11 Apr 2019 08:28:58 GMT",Sudan: Al-Baschir offenbar zum Rücktritt gezwungen,"Dahinter steht anscheinend das Militär, das den Präsidentenpalast umzingelt haben soll. Es wäre innerhalb kurzer Zeit der zweite Rücktritt eines Staatschefs in der Region."
https://www.sueddeutsche.de/sport/borussia-gladbach-rose-trainer-1.4404441,"Thu, 11 Apr 2019 08:03:18 GMT","Marco Rose in Gladbach: ""Der Gehypteste von allen""",Trainer Marco Rose wechselt nach Gladbach und bringt den Ex-Bayer Alexander Zickler und einen früheren Taktikblogger mit - sowie seine ideale Mischkultur.
https://www.sueddeutsche.de/sport/bundesliga-medien-mislintat-wird-neuer-sportdirektor-in-stuttgart-1.4405703,"Thu, 11 Apr 2019 07:50:05 GMT",Bundesliga: Medien: Mislintat wird neuer Sportdirektor in Stuttgart,Der frühere Dortmunder Chefscout hat offenbar einen neuen Job. Luka Jovics Vater bestätigt ein Angebot des FC Barcelona - sein Sohn wolle aber in Frankfurt bleiben. 
https://www.sueddeutsche.de/muenchen/mieterverein-klage-modernisierung-1.4404271,"Thu, 11 Apr 2019 07:45:54 GMT",Prozess wegen Modernisierungsumlage: Bewohner sollen bis zu 163 Prozent mehr Miete zahlen,"Ein Vermieter kündigte Bauarbeiten zwei Jahre vorher an, damit er drastische Erhöhungen nach altem Recht verlangen kann. Ob das legal ist, soll Deutschlands erste Musterfeststellungsklage im Mietrecht klären."
https://www.sueddeutsche.de/politik/bundestag-krankenkasse-praenataldiagnostik-down-syndrom-1.4405702,"Thu, 11 Apr 2019 07:26:09 GMT",Gesundheitspolitik: Die Bundestagsdebatte zur Pränataldiagnostik im Livestream,"Der Bundestag berät, ob Bluttests an Schwangeren, die Auskunft darüber geben können, ob das ungeborene Kind eine Form der Trisomie hat, künftig von der Krankenkasse finanziert werden sollen."
https://www.sueddeutsche.de/politik/maassen-migration-fluechtlinge-merkel-1.4405670,"Thu, 11 Apr 2019 07:13:59 GMT",Ex-Verfassungsschutzchef: Maaßen sieht Versäumnisse bei deutscher Migrationspolitik,"""Die Schleuse ist immer noch offen"": Mit solchen Formulierungen kritisiert Hans-Georg Maaßen die Politik der Bundesregierung. Pikant ist, in welchem Medium er sich äußert."
