link,published,title,detailed
https://www.sueddeutsche.de/politik/rechtspopulismus-europa-skandinavien-wahlen-1.4411850,"Tue, 16 Apr 2019 07:06:54 GMT",Leserdiskussion: Ist der Rechtspopulismus eine Bedrohung für Europa?,Die skandinavischen Staaten gelten als glücklichste Länder der Welt - doch trotzdem beherrschen rechtspopulistische Parteien den Diskurs. Droht jetzt ein Rechtsruck bei den Europawahlen?
https://www.sueddeutsche.de/digital/preshow-webung-kinoticket-moviepass-1.4409540,"Tue, 16 Apr 2019 07:05:22 GMT",Start-up Preshow : Gratiskonsum durch den Konsum von Konsumanreizen,"Haben Sie auch brav Ihre Werbung geschaut?  Eine App verspricht Kunden ein Kinoticket, wenn sie ihre Aufmerksamkeit für 20 Minuten opfern. Dafür werden sie überwacht."
https://www.sueddeutsche.de/panorama/leserdiskussion-was-verbinden-sie-mit-notre-dame-1.4411853,"Tue, 16 Apr 2019 07:05:03 GMT",Leserdiskussion: Was verbinden Sie mit Notre-Dame?,"Ein Symbol für Frankreich, ein Wahrzeichen von Paris. Schicken Sie uns Ihre Fotos, Videos und Geschichten, die Sie mit Notre-Dame verbinden. Wie haben Sie sich gefühlt als die Kathedrale in Flammen stand?"
https://www.sueddeutsche.de/wirtschaft/winterkorn-vw-prozess-dieselskandal-1.4410976,"Tue, 16 Apr 2019 06:47:11 GMT",Anklage gegen Winterkorn: Was einen möglichen Prozess entscheiden kann,"Der Ex-VW-Chef habe lange vor Auffliegen des Skandals über die Manipulationen gewusst, so der Vorwurf der Staatsanwaltschaft. Winterkorn sagt, er habe das brisante Papier nur angelesen."
https://www.sueddeutsche.de/panorama/notre-dame-kathedrale-brand-1.4411829,"Tue, 16 Apr 2019 06:44:48 GMT",Brand in Notre-Dame: Kampf um das Herz der Stadt,"Der Großbrand in dem Wahrzeichen Frankreichs kam aus dem Nichts und hielt die ganze Welt in Atem. Sechs Stunden später ist klar: Die Kathedrale ist gerettet, die Wunde ist dennoch tief."
https://www.sueddeutsche.de/politik/spd-groko-kutschaty-1.4410675,"Tue, 16 Apr 2019 06:26:48 GMT","Interview am Morgen: SPD in der Groko: ""Dann müssen wir uns woanders umschauen""","Thomas Kutschaty, SPD-Oppositionsführer in NRW, spricht darüber, warum er eine große Koalition unter CDU-Chefin Kramp-Karrenbauer schwierig fände. Und über sein kürzliches Treffen mit Linken-Politiker Dietmar Bartsch."
https://www.sueddeutsche.de/politik/winterkorn-vw-abgasskandal-1.4411033,"Tue, 16 Apr 2019 06:24:09 GMT",Leserdiskussion: Was erwarten Sie vom Prozess gegen Winterkorn?,Die Staatsanwaltschaft Braunschweig hat gegen Martin Winterkorn und vier weitere Manager Anklage wegen Betrugs erhoben. Bei einer Verurteilung müsste der frühere Konzernchef mit hohen Schadenersatzforderungen von Volkswagen rechnen.
https://www.sueddeutsche.de/sport/radsport-politt-ackermann-schachmann-buchmann-1.4410829,"Tue, 16 Apr 2019 06:16:30 GMT",Politt und Co.: Im deutschen Radsport verschieben sich die Kräfte,Mit seinem starken zweiten Platz bei Paris - Roubaix steht Nils Politt stellvertretend für den aktuellen Generationswechsel. Er ist Teil eines vielversprechenden Quartetts.
https://www.sueddeutsche.de/muenchen/landschaftpark-blumenau-u-1.4410699,"Tue, 16 Apr 2019 05:10:53 GMT","Blumenau: Eine U-Bahn, die im Grünen endet?","Der Landschaftspark in der Blumenau sollte unbebaut bleiben. Doch plötzlich könnte die U5 dorthin verlängert werden und mancher spricht von einem ""wertvollen Siedlungsgebiet"". Das verunsichert Naturschützer."
https://www.sueddeutsche.de/bayern/pflege-kinder-eltern-1.4407538,"Tue, 16 Apr 2019 05:07:36 GMT","Gesundheitspolitik: ""Kinder, die pflegen, werden nicht gefragt, ob sie das tun wollen""",Die 14-jährige Lana Rebhan kümmert sich um ihren nierenkranken Vater. Sie kämpft für mehr Unterstützung für Kinder und Jugendliche in ihrer Situation. 
https://www.sueddeutsche.de/wissen/mikroplastik-umweltverschmutzung-1.4410535,"Tue, 16 Apr 2019 03:11:21 GMT",Umwelt: Mikroplastik fliegt 100 Kilometer weit,"Forscher haben gezeigt, dass die Kunststoffteilchen über die Luft selbst auf weitgehend unberührte Berggipfel gelangen. "
https://www.sueddeutsche.de/gesundheit/sterbehilfe-krankheit-gericht-palliativmedizin-wuerde-selbstbestimmung-1.4410606,"Tue, 16 Apr 2019 03:03:42 GMT",Sterbehilfe : Ein langsames Ersticken,"Helmut Feldmann weiß, dass sein Tod qualvoll sein wird. Und seine Tochter weiß es auch. Vor Gericht kämpfen sie für sein Recht auf Sterbehilfe. Von einem, der bestimmen will, wie seine Geschichte endet.
"
https://www.sueddeutsche.de/wirtschaft/apotheken-gruene-umverteilung-1.4410565,"Tue, 16 Apr 2019 02:39:18 GMT",Gesundheitspolitik: Grüne wollen Geld der Apotheker umverteilen,"Viele Apotheken sind existenzbedroht, andere verdienen viel Geld. Jetzt wollen die Grünen, dass die reichsten Apotheken weniger Geld von der Krankenkasse bekommen. Die ärmeren sollen dafür subventioniert werden."
https://www.sueddeutsche.de/panorama/notre-dame-feuer-brand-loescharbeiten-aktuell-1.4411824,"Tue, 16 Apr 2019 02:30:01 GMT",Feuer in Notre-Dame: Feuerwehr hat den Brand unter Kontrolle,Präsident Macron verspricht den Wiederaufbau. Eine Milliardärs-Familie spendet 100 Millionen Euro dafür. Die Staatsanwaltschaft leitet Ermittlungen ein - von Brandstiftung ist nicht die Rede.
https://www.sueddeutsche.de/panorama/notre-dame-brand-paris-reaktionen-1.4411773,"Mon, 15 Apr 2019 23:56:10 GMT","Reaktionen auf Brand: ""Traurig, diesen Teil von uns brennen zu sehen""","Der französische Präsident, die Pariser Bürgermeisterin, die Bundesregierung: Sie alle reagieren entsetzt auf die Katastrophen-Nachricht aus Paris."
